category,title,description,rationale,impact,recommendation
Access Controls,5.2.3 Ensure SSH LogLevel is set to INFO,The 'INFO' parameter specifies that login and logout activity will be logged.,"SSH provides several logging levels with varying amounts of verbosity. 'DEBUG' is specifically _not_ recommended other than strictly for debugging SSH communications since it provides so much data that it is difficult to identify important security information. 'INFO' level is the basic level that only records login activity of SSH users. In many situations, such as Incident Response, it is important to determine when a particular user was active on a system. The logout record can eliminate those users who disconnected, which helps narrow the field.",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

LogLevel INFO"
Access Controls,5.2.4 Ensure SSH X11 forwarding is disabled,The X11Forwarding parameter provides the ability to tunnel X11 traffic through the connection to enable remote graphic connections.,"Disable X11 forwarding unless there is an operational requirement to use X11 applications directly. There is a small risk that the remote X11 servers of users who are logged in via SSH with X11 forwarding could be compromised by other users on the X11 server. Note that even if X11 forwarding is disabled, users can always install their own forwarders.",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

X11Forwarding no"
Access Controls,5.2.5 Ensure SSH MaxAuthTries is set to 4 or less,"The 'MaxAuthTries' parameter specifies the maximum number of authentication attempts permitted per connection. When the login failure count reaches half the number, error messages will be written to the 'syslog' file detailing the login failure.","Setting the 'MaxAuthTries' parameter to a low number will minimize the risk of successful brute force attacks to the SSH server. While the recommended setting is 4, set the number based on site policy.",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

MaxAuthTries 4"
Access Controls,5.2.6 Ensure SSH IgnoreRhosts is enabled,The 'IgnoreRhosts' parameter specifies that '.rhosts' and '.shosts' files will not be used in 'RhostsRSAAuthentication' or 'HostbasedAuthentication' .,Setting this parameter forces users to enter a password when authenticating with ssh.,,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

IgnoreRhosts yes"
Access Controls,5.2.7 Ensure SSH HostbasedAuthentication is disabled,"The 'HostbasedAuthentication' parameter specifies if authentication is allowed through trusted hosts via the user of '.rhosts' , or '/etc/hosts.equiv' , along with successful public key client host authentication. This option only applies to SSH Protocol Version 2.","Even though the '.rhosts' files are ineffective if support is disabled in '/etc/pam.conf' , disabling the ability to use '.rhosts' files in SSH provides an additional layer of protection .",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

HostbasedAuthentication no"
Access Controls,5.2.8 Ensure SSH root login is disabled,The 'PermitRootLogin' parameter specifies if the root user can log in using ssh(1). The default is no.,"Disallowing root logins over SSH requires system admins to authenticate using their own individual account, then escalating to root via 'sudo' or 'su' . This in turn limits opportunity for non-repudiation and provides a clear audit trail in the event of a security incident",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

PermitRootLogin no"
Access Controls,5.2.9 Ensure SSH PermitEmptyPasswords is disabled,The 'PermitEmptyPasswords' parameter specifies if the SSH server allows login to accounts with empty password strings.,Disallowing remote shell access to accounts that have an empty password reduces the probability of unauthorized access to the system,,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

PermitEmptyPasswords no"
Access Controls,5.2.10 Ensure SSH PermitUserEnvironment is disabled,The 'PermitUserEnvironment' option allows users to present environment options to the 'ssh' daemon.,Permitting users the ability to set environment variables through the SSH daemon could potentially allow users to bypass security controls (e.g. setting an execution path that has 'ssh' executing trojan'd programs),,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

PermitUserEnvironment no"
Access Controls,5.2.11 Ensure only approved MAC algorithms are used,This variable limits the types of MAC algorithms that SSH can use during communication.,"MD5 and 96-bit MAC algorithms are considered weak and have been shown to increase exploitability in SSH downgrade attacks. Weak algorithms continue to have a great deal of attention as a weak spot that can be exploited with expanded computing power. An attacker that breaks the algorithm could take advantage of a MiTM position to decrypt the SSH tunnel and capture credentials and information

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,"Edit the '/etc/ssh/sshd_config' file to set the parameter in accordance with site policy. The following includes all supported and accepted MACs:

MACs hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,umac-128@openssh.com"
Access Controls,5.2.12 Ensure SSH Idle Timeout Interval is configured - ClientAliveCountMax,"The two options 'ClientAliveInterval' and 'ClientAliveCountMax' control the timeout of ssh sessions. When the 'ClientAliveInterval' variable is set, ssh sessions that have no activity for the specified length of time are terminated. When the 'ClientAliveCountMax' variable is set, 'sshd' will send client alive messages at every 'ClientAliveInterval' interval. When the number of consecutive client alive messages are sent with no response from the client, the 'ssh' session is terminated. For example, if the 'ClientAliveInterval' is set to 15 seconds and the 'ClientAliveCountMax' is set to 3, the client 'ssh' session will be terminated after 45 seconds of idle time.","Having no timeout value associated with a connection could allow an unauthorized user access to another user's 'ssh' session (e.g. user walks away from their computer and doesn't lock the screen). Setting a timeout value at least reduces the risk of this happening..

While the recommended setting is 300 seconds (5 minutes), set this timeout value based on site policy. The recommended setting for 'ClientAliveCountMax' is 0. In this case, the client session will be terminated after 5 minutes of idle time and no keepalive messages will be sent.",,"Edit the '/etc/ssh/sshd_config' file to set the parameters according to site policy:

ClientAliveInterval 300
ClientAliveCountMax 0"
Access Controls,5.2.13 Ensure SSH LoginGraceTime is set to one minute or less,The 'LoginGraceTime' parameter specifies the time allowed for successful authentication to the SSH server. The longer the Grace period is the more open unauthenticated connections can exist. Like other session controls in this session the Grace Period should be limited to appropriate organizational limits to ensure the service is available for needed access.,"Setting the 'LoginGraceTime' parameter to a low number will minimize the risk of successful brute force attacks to the SSH server. It will also limit the number of concurrent unauthenticated connections While the recommended setting is 60 seconds (1 Minute), set the number based on site policy.",,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

LoginGraceTime 60"
Access Controls,5.2.14 Ensure SSH access is limited,"There are several options available to limit which users and group can access the system via SSH. It is recommended that at least one of the following options be leveraged: 'AllowUsers'

The 'AllowUsers' variable gives the system administrator the option of allowing specific users to 'ssh' into the system. The list consists of space separated user names. Numeric user IDs are not recognized with this variable. If a system administrator wants to restrict user access further by only allowing the allowed users to log in from a particular host, the entry can be specified in the form of user@host. 'AllowGroups'

The 'AllowGroups' variable gives the system administrator the option of allowing specific groups of users to 'ssh' into the system. The list consists of space separated group names. Numeric group IDs are not recognized with this variable. 'DenyUsers'

The 'DenyUsers' variable gives the system administrator the option of denying specific users to 'ssh' into the system. The list consists of space separated user names. Numeric user IDs are not recognized with this variable. If a system administrator wants to restrict user access further by specifically denying a user's access from a particular host, the entry can be specified in the form of user@host. 'DenyGroups'

The 'DenyGroups' variable gives the system administrator the option of denying specific groups of users to 'ssh' into the system. The list consists of space separated group names. Numeric group IDs are not recognized with this variable.",Restricting which users can remotely access the system via SSH will help ensure that only authorized users access the system.,,"Edit the '/etc/ssh/sshd_config' file to set one or more of the parameter as follows:

AllowUsers
AllowGroups
DenyUsers
DenyGroups"
Access Controls,5.2.15 Ensure SSH warning banner is configured,"The 'Banner' parameter specifies a file whose contents must be sent to the remote user before authentication is permitted. By default, no banner is displayed.",Banners are used to warn connecting users of the particular site's policy regarding connection. Presenting a warning message prior to the normal user login may assist the prosecution of trespassers on the computer system.,,"Edit the '/etc/ssh/sshd_config' file to set the parameter as follows:

Banner /etc/issue.net"
Access Controls,5.3.1 Ensure password creation requirements are configured - ocredit,"The 'pam_pwquality.so' module checks the strength of passwords. It performs checks such as making sure a password is not a dictionary word, it is a certain length, contains a mix of characters (e.g. alphabet, numeric, other) and more. The following are definitions of the 'pam_pwquality' .so options.

- 'try_first_pass' - retrieve the password from a previous stacked PAM module. If not available, then prompt the user for a password. - 'retry=3' - Allow 3 tries before sending back a failure.

The following options are set in the '/etc/security/pwquality.conf' file:

- 'minlen = 14' - password must be 14 characters or more - 'dcredit = -1' - provide at least one digit - 'ucredit = -1' - provide at least one uppercase character - 'ocredit = -1' - provide at least one special character - 'lcredit = -1' - provide at least one lowercase character

The settings shown above are one possible policy. Alter these values to conform to your own organization's password policies.",Strong passwords protect systems from being hacked through brute force methods.,,"Edit the '/etc/pam.d/password-auth' and '/etc/pam.d/system-auth' files to include the appropriate options for 'pam_pwquality.so' and to conform to site policy:

password requisite pam_pwquality.so try_first_pass retry=3

Edit '/etc/security/pwquality.conf' to add or update the following settings to conform to site policy:

minlen = 14
dcredit = -1
ucredit = -1
ocredit = -1
lcredit = -1"
Access Controls,5.3.2 Ensure lockout for failed password attempts is configured - system-auth 'auth sufficient pam_faillock.so',"Lock out users after _n_ unsuccessful consecutive login attempts. The first sets of changes are made to the PAM configuration files. The second set of changes are applied to the program specific PAM configuration file. The second set of changes must be applied to each program that will lock out users. Check the documentation for each secondary program for instructions on how to configure them to work with PAM.

Set the lockout number to the policy in effect at your site.",Locking out user IDs after _n_ unsuccessful consecutive login attempts mitigates brute force password attacks against your systems.,,"Edit the '/etc/pam.d/password-auth' and '/etc/pam.d/system-auth' files and add the following 'pam_faillock.so' lines surrounding a 'pam_unix.so' line modify the 'pam_unix.so' is '[success=1 default=bad]' as listed in both:

auth required pam_faillock.so preauth audit silent deny=5 unlock_time=900
auth [success=1 default=bad] pam_unix.so
auth [default=die] pam_faillock.so authfail audit deny=5 unlock_time=900
auth sufficient pam_faillock.so authsucc audit deny=5 unlock_time=900"
Access Controls,5.3.3 Ensure password reuse is limited - password-auth,The '/etc/security/opasswd' file stores the users' old passwords and can be checked to ensure that users are not recycling recent passwords.,"Forcing users not to reuse their past 5 passwords make it less likely that an attacker will be able to guess the password.

Note that these change only apply to accounts configured on the local system.",,"Edit the '/etc/pam.d/password-auth' and '/etc/pam.d/system-auth' files to include the 'remember' option and conform to site policy as shown:

password sufficient pam_unix.so remember=5

or

password required pam_pwhistory.so remember=5"
Access Controls,5.3.4 Ensure password hashing algorithm is SHA-512 - password-auth,The commands below change password encryption from 'md5' to 'sha512' (a much stronger hashing algorithm). All existing accounts will need to perform a password change to upgrade the stored hashes to the new algorithm.,"The SHA-512 algorithm provides much stronger hashing than MD5, thus providing additional protection to the system by increasing the level of effort for an attacker to successfully determine passwords.

Note that these change only apply to accounts configured on the local system.",,"Edit the '/etc/pam.d/password-auth' and '/etc/pam.d/system-auth' files to include the 'sha512' option for 'pam_unix.so' as shown:

password sufficient pam_unix.so sha512"
Access Controls,5.4.1.1 Ensure password expiration is 365 days or less,The 'PASS_MAX_DAYS' parameter in '/etc/login.defs' allows an administrator to force passwords to expire once they reach a defined age. It is recommended that the 'PASS_MAX_DAYS' parameter be set to less than or equal to 365 days.,"The window of opportunity for an attacker to leverage compromised credentials or successfully compromise credentials via an online brute force attack is limited by the age of the password. Therefore, reducing the maximum age of a password also reduces an attacker's window of opportunity.",,"Set the 'PASS_MAX_DAYS' parameter to conform to site policy in '/etc/login.defs' :

PASS_MAX_DAYS 90

Modify user parameters for all users with a password set to match:

# chage --maxdays 90"
Access Controls,5.4.1.2 Ensure minimum days between password changes is 7 or more,The 'PASS_MIN_DAYS' parameter in '/etc/login.defs' allows an administrator to prevent users from changing their password until a minimum number of days have passed since the last time the user changed their password. It is recommended that 'PASS_MIN_DAYS' parameter be set to 7 or more days.,"By restricting the frequency of password changes, an administrator can prevent users from repeatedly changing their password in an attempt to circumvent password reuse controls.",,"Set the 'PASS_MIN_DAYS' parameter to 7 in '/etc/login.defs' :

PASS_MIN_DAYS 7

Modify user parameters for all users with a password set to match:

# chage --mindays 7"
Access Controls,5.4.1.3 Ensure password expiration warning days is 7 or more,The 'PASS_WARN_AGE' parameter in '/etc/login.defs' allows an administrator to notify users that their password will expire in a defined number of days. It is recommended that the 'PASS_WARN_AGE' parameter be set to 7 or more days.,Providing an advance warning that a password will be expiring gives users time to think of a secure password. Users caught unaware may choose a simple password or write it down where it may be discovered.,,"Set the 'PASS_WARN_AGE' parameter to 7 in '/etc/login.defs' :

PASS_WARN_AGE 7

Modify user parameters for all users with a password set to match:

# chage --warndays 7"
Access Controls,5.4.1.4 Ensure inactive password lock is 30 days or less,User accounts that have been inactive for over a given period of time can be automatically disabled. It is recommended that accounts that are inactive for 30 days after password expiration be disabled.,Inactive accounts pose a threat to system security since the users are not logging in to notice failed login attempts or other anomalies.,,"Run the following command to set the default password inactivity period to 30 days:

# useradd -D -f 30

Modify user parameters for all users with a password set to match:

# chage --inactive 30"
Access Controls,5.4.1.5 Ensure all users last password change date is in the past,All users should have a password change date in the past.,"If a users recorded password change date is in the future then they could bypass any set password expiration.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,"Investigate any users with a password change date in the future and correct them. Locking the account, expiring the password, or resetting the password manually may be appropriate."
Access Controls,5.4.2 Ensure system accounts are non-login,There are a number of accounts provided with Red Hat 7 that are used to manage applications and are not intended to provide an interactive shell.,"It is important to make sure that accounts that are not being used by regular users are prevented from being used to provide an interactive shell. By default Red Hat 7 sets the password field for these accounts to an invalid string, but it is also recommended that the shell field in the password file be set to '/sbin/nologin' . This prevents the account from potentially being used to run any commands.",,"Set the shell for any accounts returned by the audit script to '/sbin/nologin' :

# usermod -s /sbin/nologin

The following script will automatically set all user shells required to '/sbin/nologin' and lock the 'sync' , 'shutdown' , and 'halt' users:

#!/bin/bash

for user in 'awk -F: '($3 < 1000) {print $1 }' /etc/passwd' ; do
 if [ $user != 'root' ]; then
 usermod -L $user
 if [ $user != 'sync' ] && [ $user != 'shutdown' ] & then
 usermod -s /sbin/nologin $user
 fi
 fi
done"
Access Controls,5.4.3 Ensure default group for the root account is GID 0,The usermod command can be used to specify which group the root user belongs to. This affects permissions of files that are created by the root user.,Using GID 0 for the 'root' account helps prevent 'root' -owned files from accidentally becoming accessible to non-privileged users.,,"Run the following command to set the 'root' user default group to GID '0' :

# usermod -g 0 root"
Access Controls,5.4.4 Ensure default user umask is 027 or more restrictive - /etc/profile /etc/profile.d/*.sh,"The default 'umask' determines the permissions of files created by users. The user creating the file has the discretion of making their files and directories readable by others via the chmod command. Users who wish to allow their files and directories to be readable by others by default may choose a different default umask by inserting the 'umask' command into the standard shell configuration files ( '.profile' , '.bashrc' , etc.) in their home directories.","Setting a very secure default value for 'umask' ensures that users make a conscious choice about their file permissions. A default 'umask' setting of '077' causes files and directories created by users to not be readable by any other user on the system. A 'umask' of '027' would make files and directories readable by users in the same Unix group, while a 'umask' of '022' would make files readable by every user on the system.",,"Edit the '/etc/bashrc', '/etc/profile' and '/etc/profile.d/*.sh' files (and the appropriate files for any other shell supported on your system) and add or edit any umask parameters as follows:

umask 027"
Access Controls,5.4.5 Ensure default user shell timeout is 900 seconds or less - /etc/profile,The default 'TMOUT' determines the shell timeout for users. The TMOUT value is measured in seconds.,Having no timeout value associated with a shell could allow an unauthorized user access to another user's shell session (e.g. user walks away from their computer and doesn't lock the screen). Setting a timeout value at least reduces the risk of this happening.,,"Edit the '/etc/bashrc' and '/etc/profile' files (and the appropriate files for any other shell supported on your system) and add or edit any umask parameters as follows:

TMOUT=600"
Access Controls,5.5 Ensure root login is restricted to system console,The file '/etc/securetty' contains a list of valid terminals that may be logged in directly as root.,"Since the system console has special properties to handle emergency situations, it is important to ensure that the console is in a physically secure location and that unauthorized consoles have not been defined.",,Remove entries for any consoles that are not in a physically secure location.
Access Controls,5.6 Ensure access to the su command is restricted - pam_wheel.so,"The 'su' command allows a user to run a command or shell as another user. The program has been superseded by 'sudo' , which allows for more granular control over privileged access. Normally, the 'su' command can be executed by any user. By uncommenting the 'pam_wheel.so' statement in '/etc/pam.d/su' , the 'su' command will only allow users in the wheel group to execute 'su' .","Restricting the use of 'su' , and using 'sudo' in its place, provides system administrators better control of the escalation of user privileges to execute privileged commands. The sudo utility also provides a better logging and audit mechanism, as it can log each command executed via 'sudo' , whereas 'su' can only record that a user executed the 'su' program.",,"Add the following line to the '/etc/pam.d/su' file:

auth required pam_wheel.so use_uid

Create a comma separated list of users in the wheel statement in the '/etc/group' file:

wheel:x:10:root,"
Filesystem Permissions,6.1.1 Audit system file permissions,"The RPM package manager has a number of useful options. One of these, the '--verify' (or '-V' ) option, can be used to verify that system packages are correctly installed. The '--verify' option can be used to verify a particular package or to verify all system packages. If no output is returned, the package is installed correctly. The following table describes the meaning of output from the verify option:

Code Meaning S File size differs. M File mode differs (includes permissions and file type). 5 The MD5 checksum differs. D The major and minor version numbers differ on a device file. L A mismatch occurs in a link. U The file ownership differs. G The file group owner differs. T The file time (mtime) differs.

The 'rpm -qf' command can be used to determine which package a particular file belongs to. For example the following commands determines which package the '/bin/bash' file belongs to:

# rpm -qf /bin/bash bash-4.1.2-29.el6.x86_64

To verify the settings for the package that controls the '/bin/bash' file, run the following:

# rpm -V bash-4.1.2-29.el6.x86_64 .M....... /bin/bash

Note that you can feed the output of the 'rpm -qf' command to the 'rpm -V' command:

# rpm -V 'rpm -qf /etc/passwd' .M...... c /etc/passwd S.5....T c /etc/printcap",It is important to confirm that packaged system files and directories are maintained with the permissions they were intended to have from the OS vendor.,,
Filesystem Permissions,6.1.2 Ensure permissions on /etc/passwd are configured,The '/etc/passwd' file contains user account information that is used by many system utilities and therefore must be readable for these utilities to operate.,"It is critical to ensure that the '/etc/passwd' file is protected from unauthorized write access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following command to set permissions on '/etc/passwd' :

# chown root:root /etc/passwd
# chmod 644 /etc/passwd"
Filesystem Permissions,6.1.3 Ensure permissions on /etc/shadow are configured,"The '/etc/shadow' file is used to store the information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information.","If attackers can gain read access to the '/etc/shadow' file, they can easily run a password cracking program against the hashed password to break it. Other security information that is stored in the '/etc/shadow' file (such as expiration) could also be useful to subvert the user accounts.",,"Run the following commands to set permissions on '/etc/shadow' :

# chown root:root /etc/shadow
# chmod 000 /etc/shadow"
Filesystem Permissions,6.1.4 Ensure permissions on /etc/group are configured,The '/etc/group' file contains a list of all the valid groups defined in the system. The command below allows read/write access for root and read access for everyone else.,"The '/etc/group' file needs to be protected from unauthorized changes by non-privileged users, but needs to be readable as this information is used with many non-privileged programs.",,"Run the following command to set permissions on '/etc/group' :

# chown root:root /etc/group
# chmod 644 /etc/group"
Filesystem Permissions,6.1.5 Ensure permissions on /etc/gshadow are configured,"The '/etc/gshadow' file is used to store the information about groups that is critical to the security of those accounts, such as the hashed password and other security information.","If attackers can gain read access to the '/etc/gshadow' file, they can easily run a password cracking program against the hashed password to break it. Other security information that is stored in the '/etc/gshadow' file (such as group administrators) could also be useful to subvert the group.",,"Run the following chown to set permissions on '/etc/gshadow' :

# chown root:root /etc/gshadow
# chmod 000 /etc/gshadow"
Filesystem Permissions,6.1.6 Ensure permissions on /etc/passwd- are configured,The '/etc/passwd-' file contains backup user account information.,"It is critical to ensure that the '/etc/passwd-' file is protected from unauthorized access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following command to set permissions on '/etc/passwd-' :

# chown root:root /etc/passwd-
# chmod u-x,go-wx /etc/passwd-"
Filesystem Permissions,6.1.7 Ensure permissions on /etc/shadow- are configured,"The '/etc/shadow-' file is used to store backup information about user accounts that is critical to the security of those accounts, such as the hashed password and other security information.","It is critical to ensure that the '/etc/shadow-' file is protected from unauthorized access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following commands to set permissions on '/etc/shadow-':

# chown root:root /etc/shadow-
# chmod 000 /etc/shadow-"
Filesystem Permissions,6.1.8 Ensure permissions on /etc/group- are configured,The '/etc/group-' file contains a backup list of all the valid groups defined in the system.,"It is critical to ensure that the '/etc/group-' file is protected from unauthorized access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following command to set permissions on '/etc/group-' :

# chown root:root /etc/group-
# chmod u-x,go-wx /etc/group-"
Filesystem Permissions,6.1.9 Ensure permissions on /etc/gshadow- are configured,"The '/etc/gshadow-' file is used to store backup information about groups that is critical to the security of those accounts, such as the hashed password and other security information.","It is critical to ensure that the '/etc/gshadow-' file is protected from unauthorized access. Although it is protected by default, the file permissions could be changed either inadvertently or through malicious actions.",,"Run the following commands to set permissions on '/etc/gshadow-' :

# chown root:root /etc/gshadow-
# chmod 000 /etc/gshadow-"
Filesystem Permissions,6.1.10 Ensure no world writable files exist,Unix-based systems support variable settings to control access to files. World writable files are the least secure. See the 'chmod(2)' man page for more information.,Data in world-writable files can be modified and compromised by any user on the system. World writable files may also indicate an incorrectly written script or program that could potentially be the cause of a larger compromise to the system's integrity.,,"Removing write access for the 'other' category ( 'chmod o-w ' ) is advisable, but always consult relevant vendor documentation to avoid breaking any application dependencies on a given file."
Filesystem Permissions,6.1.11 Ensure no unowned files or directories exist,Sometimes when administrators delete users from the password file they neglect to remove all files owned by those users from the system.,"A new user who is assigned the deleted user's user ID or group ID may then end up 'owning' these files, and thus have more access on the system than was intended.",,"Locate files that are owned by users or groups not listed in the system configuration files, and reset the ownership of these files to some active user on the system as appropriate."
Filesystem Permissions,6.1.12 Ensure no ungrouped files or directories exist,Sometimes when administrators delete users or groups from the system they neglect to remove all files owned by those users or groups.,"A new user who is assigned the deleted user's user ID or group ID may then end up 'owning' these files, and thus have more access on the system than was intended.",,"Locate files that are owned by users or groups not listed in the system configuration files, and reset the ownership of these files to some active user on the system as appropriate."
Filesystem Permissions,6.1.13 Audit SUID executables,"The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SUID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SUID programs, but it is important to identify and review such programs to ensure they are legitimate.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.

The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SUID program is to enable users to perform functions (such as changing their password) that require root privileges.","There are valid reasons for SUID programs, but it is important to identify and review such programs to ensure they are legitimate.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,Ensure that no rogue SUID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.
Filesystem Permissions,6.1.14 Audit SGID executables,"The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SGID program is to enable users to perform functions (such as changing their password) that require root privileges.

Rationale:

There are valid reasons for SGID programs, but it is important to identify and review such programs to ensure they are legitimate. Review the files returned by the action in the audit section and check to see if system binaries have a different md5 checksum than what from the package. This is an indication that the binary may have been replaced.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.

The owner of a file can set the file's permissions to run with the owner's or group's permissions, even if the user running the program is not the owner or a member of the group. The most common reason for a SGID program is to enable users to perform functions (such as changing their password) that require root privileges.","There are valid reasons for SGID programs, but it is important to identify and review such programs to ensure they are legitimate. Review the files returned by the action in the audit section and check to see if system binaries have a different md5 checksum than what from the package. This is an indication that the binary may have been replaced.

NOTE: Nessus has provided the target output to assist in reviewing the benchmark to ensure target compliance.",,Ensure that no rogue SGID programs have been introduced into the system. Review the files returned by the action in the Audit section and confirm the integrity of these binaries.
Access Controls,6.2.1 Ensure password fields are not empty,An account with an empty password field means that anybody may log in as that user without providing a password.,All accounts must have passwords or be locked to prevent the account from being used by an unauthorized user.,,"If any accounts in the '/etc/shadow' file do not have a password, run the following command to lock the account until it can be determined why it does not have a password:

# passwd -l

Also, check to see if the account is logged in and investigate what it is being used for to determine if it needs to be forced off."
Access Controls,6.2.2 Ensure no legacy '+' entries exist in /etc/passwd,"The character + in various files used to be markers for systems to insert data from NIS maps at a certain point in a system configuration file. These entries are no longer required on most systems, but may exist in files that have been imported from other platforms.",These entries may provide an avenue for attackers to gain privileged access on the system.,,Remove any legacy '+' entries from '/etc/passwd' if they exist.
Access Controls,6.2.5 Ensure root is the only UID 0 account,Any account with UID 0 has superuser privileges on the system.,This access must be limited to only the default 'root' account and only from the system console. Administrative access must be through an unprivileged account using an approved mechanism as noted in Item 5.6 Ensure access to the su command is restricted.,,Remove any users other than 'root' with UID '0' or assign them a new UID if appropriate.
Access Controls,6.2.6 Ensure root PATH Integrity,The 'root' user can execute any command on the system and could be fooled into executing programs unintentionally if the 'PATH' is not set correctly.,Including the current working directory (.) or other writable directory in 'root' 's executable path makes it likely that an attacker can gain superuser access by forcing an administrator operating as 'root' to execute a Trojan horse program.,,Correct or justify any items discovered in the Audit step.
Access Controls,6.2.7 Ensure all users' home directories exist,Users can be defined in '/etc/passwd' without a home directory or with a home directory that does not actually exist.,"If the user's home directory does not exist or is unassigned, the user will be placed in '/' and will not be able to write any files or have local environment variables set.",,"If any users' home directories do not exist, create them and make sure the respective user owns the directory. Users without an assigned home directory should be removed or assigned a home directory as appropriate."
Access Controls,6.2.8 Ensure users' home directories permissions are 750 or more restrictive,"While the system administrator can establish secure permissions for users' home directories, the users can easily override these.",Group or world-writable user home directories may enable malicious users to steal or modify other users' data or to gain another user's system privileges.,,"Making global modifications to user home directories without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user file permissions and determine the action to be taken in accordance with site policy."
Access Controls,6.2.9 Ensure users own their home directories,The user home directory is space defined for the particular user to set local environment variables and to store personal files.,"Since the user is accountable for files stored in the user home directory, the user must be the owner of the directory.",,Change the ownership of any home directories that are not owned by the defined user to the correct user.
Access Controls,6.2.10 Ensure users' dot files are not group or world writable,"While the system administrator can establish secure permissions for users' 'dot' files, the users can easily override these.",Group or world-writable user configuration files may enable malicious users to steal or modify other users' data or to gain another user's system privileges.,,"Making global modifications to users' files without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user dot file permissions and determine the action to be taken in accordance with site policy."
Access Controls,6.2.11 Ensure no users have .forward files,The '.forward' file specifies an email address to forward the user's mail to.,Use of the '.forward' file poses a security risk in that sensitive data may be inadvertently transferred outside the organization. The '.forward' file also poses a risk as it can be used to execute commands that may perform unintended actions.,,"Making global modifications to users' files without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user '.forward' files and determine the action to be taken in accordance with site policy."
Access Controls,6.2.12 Ensure no users have .netrc files,The '.netrc' file contains data for logging into a remote host for file transfers via FTP.,"The '.netrc' file presents a significant security risk since it stores passwords in unencrypted form. Even if FTP is disabled, user accounts may have brought over '.netrc' files from other systems which could pose a risk to those systems.",,"Making global modifications to users' files without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user '.netrc' files and determine the action to be taken in accordance with site policy."
Access Controls,6.2.13 Ensure users' .netrc Files are not group or world accessible,"While the system administrator can establish secure permissions for users' '.netrc' files, the users can easily override these.",'.netrc' files may contain unencrypted passwords that may be used to attack other systems.,,"Making global modifications to users' files without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user '.netrc' file permissions and determine the action to be taken in accordance with site policy."
Access Controls,6.2.14 Ensure no users have .rhosts files,"While no '.rhosts' files are shipped by default, users can easily create them.","This action is only meaningful if '.rhosts' support is permitted in the file '/etc/pam.conf' . Even though the '.rhosts' files are ineffective if support is disabled in '/etc/pam.conf' , they may have been brought over from other systems and could contain information useful to an attacker for those other systems.",,"Making global modifications to users' files without alerting the user community can result in unexpected outages and unhappy users. Therefore, it is recommended that a monitoring policy be established to report user '.rhosts' files and determine the action to be taken in accordance with site policy."
Access Controls,6.2.15 Ensure all groups in /etc/passwd exist in /etc/group,"Over time, system administration errors and changes can lead to groups being defined in '/etc/passwd' but not in '/etc/group' .",Groups defined in the '/etc/passwd' file but not in the '/etc/group' file pose a threat to system security since group permissions are not properly managed.,,Analyze the output of the Audit step above and perform the appropriate action to correct any discrepancies found.
